Student_ID,Age,Gender,Hours_Studied,Attendance,Sleep_Hours,Stress_Level,Screen_Time,Previous_GPA,Part_Time_Job,Study_Method,Diet_Quality,Internet_Quality,Extracurricular,Tutoring_Sessions_Per_Week,Family_Income_Level,Exam_Anxiety_Score,Final_Score,Previous_GPA_Anomaly_Flag,Previous_GPA_Cleaned,Tutoring_Sessions_Per_Week_IQR_Outlier_Flag,Final_Score_IQR_Outlier_Flag,Sleep_Hours_IQR_Outlier_Flag,Previous_GPA_IQR_Outlier_Flag,Exam_Anxiety_Score_IQR_Outlier_Flag,Attendance_IQR_Outlier_Flag,Hours_Studied_IQR_Outlier_Flag,Screen_Time_IQR_Outlier_Flag,Age_IQR_Outlier_Flag,Stress_Level_IQR_Outlier_Flag,Performance_Category,Study_Hours_Group,Attendance_Group,Sleep_Category,Stress_Category,Anxiety_Category,Screen_Time_Group,Risk_Score,Risk_Level
STU00011,21,Female,3.75,75.4,6.7,4.4,4.4,3.05,No,Online,Average,Average,Yes,2,Middle,6.5,83.59,False,3.05,False,False,False,False,False,False,False,False,False,False,Good,Moderate Study (3-6h),Moderate Attendance (70-85%),Ideal Sleep (6-8h),Medium,High,Moderate Screen Time (2-5h),1,Low Risk
STU00012,19,Male,4.66,83.5,7.1,9.4,4.8,2.95,Yes,Offline,Average,Excellent,Yes,2,Middle,4.2,74.7,False,2.95,False,False,False,False,False,False,False,False,False,False,Needs Improvement,Moderate Study (3-6h),Moderate Attendance (70-85%),Ideal Sleep (6-8h),High,Medium,Moderate Screen Time (2-5h),2,Medium Risk
STU00013,18,Non-Binary,6.01,92.7,5.8,6.7,3.2,3.09,No,Hybrid,Average,Average,No,2,Low,6.8,76.46,False,3.09,False,False,False,False,False,False,False,False,False,False,Good,High Study (>6h),High Attendance (>85%),Short Sleep (<6h),High,High,Moderate Screen Time (2-5h),2,Medium Risk
STU00014,19,Male,5.1,62.9,7.7,4.8,0.5,3.49,Yes,Online,Good,Average,No,1,Low,4.6,86.11,False,3.49,False,False,False,False,False,False,False,False,False,False,Good,Moderate Study (3-6h),Low Attendance (<70%),Ideal Sleep (6-8h),Medium,Medium,Low Screen Time (≤2h),1,Low Risk
STU00015,22,Male,4.67,89.6,6.5,5.1,0.9,2.54,No,Online,Average,Excellent,Yes,2,Low,3.5,99.7,False,2.54,False,False,False,False,False,False,False,False,False,False,Excellent,Moderate Study (3-6h),High Attendance (>85%),Ideal Sleep (6-8h),Medium,Medium,Low Screen Time (≤2h),0,Low Risk
STU00016,18,Male,2.09,91.5,5.2,4.7,3.8,2.62,No,Offline,Good,Average,No,1,High,7.0,66.51,False,2.62,False,False,False,False,False,False,False,False,False,False,Needs Improvement,Low Study (<3h),High Attendance (>85%),Short Sleep (<6h),Medium,High,Moderate Screen Time (2-5h),3,Medium Risk
STU00017,19,Female,6.11,82.5,5.7,5.0,5.5,3.23,Yes,Online,Average,Poor,No,0,Low,3.2,87.87,False,3.23,False,False,False,False,False,False,False,False,False,False,Good,High Study (>6h),Moderate Attendance (70-85%),Short Sleep (<6h),Medium,Medium,High Screen Time (>5h),0,Low Risk
STU00018,21,Female,5.25,61.2,5.9,4.4,3.1,2.7,No,Hybrid,Average,Average,Yes,2,Middle,3.4,92.06,False,2.7,False,False,False,False,False,False,False,False,False,False,Excellent,Moderate Study (3-6h),Low Attendance (<70%),Short Sleep (<6h),Medium,Medium,Moderate Screen Time (2-5h),1,Low Risk
STU00019,21,Female,5.55,72.9,8.0,4.9,4.2,3.59,Yes,Online,Good,Average,Yes,4,Middle,1.7,96.51,False,3.59,True,False,False,False,False,False,False,False,False,False,Excellent,Moderate Study (3-6h),Moderate Attendance (70-85%),Ideal Sleep (6-8h),Medium,Low,Moderate Screen Time (2-5h),0,Low Risk
STU00020,24,Female,1.95,78.5,7.2,5.1,5.7,2.62,No,Hybrid,Average,Average,No,0,High,7.3,61.96,False,2.62,False,False,False,False,False,False,False,False,False,False,Needs Improvement,Low Study (<3h),Moderate Attendance (70-85%),Ideal Sleep (6-8h),Medium,High,High Screen Time (>5h),3,Medium Risk
STU00021,21,Male,8.3,82.8,6.5,10.0,3.0,3.42,No,Offline,Good,Poor,No,0,Low,4.6,87.96,False,3.42,False,False,False,False,False,False,False,False,False,False,Good,High Study (>6h),Moderate Attendance (70-85%),Ideal Sleep (6-8h),High,Medium,Moderate Screen Time (2-5h),1,Low Risk
STU00022,20,Female,5.31,67.6,7.0,3.5,3.9,3.45,No,Hybrid,Average,Good,Yes,1,Middle,6.0,85.08,False,3.45,False,False,False,False,False,False,False,False,False,False,Good,Moderate Study (3-6h),Low Attendance (<70%),Ideal Sleep (6-8h),Medium,Medium,Moderate Screen Time (2-5h),1,Low Risk
STU00023,17,Male,4.23,77.5,6.4,8.1,5.8,3.31,Yes,Offline,Good,Average,Yes,1,Middle,5.1,77.73,False,3.31,False,False,False,False,False,False,False,False,False,False,Good,Moderate Study (3-6h),Moderate Attendance (70-85%),Ideal Sleep (6-8h),High,Medium,High Screen Time (>5h),1,Low Risk
STU00024,21,Female,9.06,87.0,6.5,3.8,3.0,2.61,Yes,Offline,Good,Average,Yes,4,Middle,5.2,97.15,False,2.61,True,False,False,False,False,False,False,False,False,False,Excellent,High Study (>6h),High Attendance (>85%),Ideal Sleep (6-8h),Medium,Medium,Moderate Screen Time (2-5h),0,Low Risk
STU00025,18,Male,4.91,74.5,7.7,10.0,5.3,3.23,No,Offline,Poor,Excellent,Yes,3,Middle,3.5,81.12,False,3.23,False,False,False,False,False,False,False,False,False,False,Good,Moderate Study (3-6h),Moderate Attendance (70-85%),Ideal Sleep (6-8h),High,Medium,High Screen Time (>5h),1,Low Risk
STU00026,24,Female,2.1,76.9,7.2,7.1,4.1,3.54,Yes,Online,Good,Good,No,2,Middle,6.8,70.5,False,3.54,False,False,False,False,False,False,False,False,False,False,Needs Improvement,Low Study (<3h),Moderate Attendance (70-85%),Ideal Sleep (6-8h),High,High,Moderate Screen Time (2-5h),4,High Risk
STU00027,21,Female,4.19,75.3,7.0,5.8,0.6,3.29,Yes,Offline,Average,Excellent,No,1,Low,3.7,85.69,False,3.29,False,False,False,False,False,False,False,False,False,False,Good,Moderate Study (3-6h),Moderate Attendance (70-85%),Ideal Sleep (6-8h),Medium,Medium,Low Screen Time (≤2h),0,Low Risk
STU00028,20,Female,0.42,65.8,6.9,4.2,6.3,3.64,No,Hybrid,Average,Good,No,2,Middle,5.4,68.32,False,3.64,False,False,False,False,False,False,False,False,False,False,Needs Improvement,Low Study (<3h),Low Attendance (<70%),Ideal Sleep (6-8h),Medium,Medium,High Screen Time (>5h),3,Medium Risk
STU00029,22,Female,7.1,76.4,6.5,4.2,3.8,2.58,No,Offline,Average,Average,No,1,Low,4.5,98.29,False,2.58,False,False,False,False,False,False,False,False,False,False,Excellent,High Study (>6h),Moderate Attendance (70-85%),Ideal Sleep (6-8h),Medium,Medium,Moderate Screen Time (2-5h),0,Low Risk
STU00030,18,Male,4.17,77.8,7.8,5.2,4.5,2.97,No,Offline,Average,Good,Yes,2,High,8.4,76.03,False,2.97,False,False,False,False,False,False,False,False,False,False,Good,Moderate Study (3-6h),Moderate Attendance (70-85%),Ideal Sleep (6-8h),Medium,High,Moderate Screen Time (2-5h),1,Low Risk
STU00031,20,Female,3.51,87.4,6.8,2.1,5.4,3.99,Yes,Offline,Good,Poor,No,3,Middle,5.0,92.76,False,3.99,False,False,False,False,False,False,False,False,False,False,Excellent,Moderate Study (3-6h),High Attendance (>85%),Ideal Sleep (6-8h),Low,Medium,High Screen Time (>5h),0,Low Risk
STU00032,22,Male,7.14,72.0,7.6,8.3,4.9,2.75,Yes,Hybrid,Poor,Poor,Yes,2,High,5.6,85.89,False,2.75,False,False,False,False,False,False,False,False,False,False,Good,High Study (>6h),Moderate Attendance (70-85%),Ideal Sleep (6-8h),High,Medium,Moderate Screen Time (2-5h),1,Low Risk
STU00033,23,Female,1.7,66.9,4.9,2.8,3.7,2.34,No,Hybrid,Average,Good,No,2,Low,5.3,58.54,False,2.34,False,False,False,False,False,False,False,False,False,False,At Risk,Low Study (<3h),Low Attendance (<70%),Short Sleep (<6h),Low,Medium,Moderate Screen Time (2-5h),3,Medium Risk
STU00034,23,Female,6.07,75.0,8.5,6.2,4.2,3.05,No,Offline,Average,Good,No,2,High,3.9,95.53,False,3.05,False,False,False,False,False,False,False,False,False,False,Excellent,High Study (>6h),Moderate Attendance (70-85%),Long Sleep (>8h),High,Medium,Moderate Screen Time (2-5h),1,Low Risk
STU00035,18,Male,0.87,71.1,6.5,8.0,5.2,2.63,No,Hybrid,Average,Good,No,0,Middle,6.8,45.31,False,2.63,False,True,False,False,False,False,False,False,False,False,At Risk,Low Study (<3h),Moderate Attendance (70-85%),Ideal Sleep (6-8h),High,High,High Screen Time (>5h),4,High Risk
STU00036,19,Non-Binary,3.68,85.5,5.7,2.2,8.0,3.09,Yes,Online,Average,Excellent,No,2,Low,7.7,65.93,False,3.09,False,False,False,False,False,False,False,False,False,False,Needs Improvement,Moderate Study (3-6h),High Attendance (>85%),Short Sleep (<6h),Low,High,High Screen Time (>5h),2,Medium Risk
STU00037,17,Female,2.59,74.3,7.9,3.4,3.5,3.54,Yes,Offline,Good,Average,No,2,High,3.4,96.23,False,3.54,False,False,False,False,False,False,False,False,False,False,Excellent,Low Study (<3h),Moderate Attendance (70-85%),Ideal Sleep (6-8h),Medium,Medium,Moderate Screen Time (2-5h),1,Low Risk
STU00038,24,Male,7.92,64.4,8.5,3.3,2.0,2.56,Yes,Offline,Average,Good,No,3,High,5.6,95.45,False,2.56,False,False,False,False,False,False,False,False,False,False,Excellent,High Study (>6h),Low Attendance (<70%),Long Sleep (>8h),Medium,Medium,Low Screen Time (≤2h),1,Low Risk
STU00039,17,Female,8.53,85.9,8.3,7.7,4.1,2.76,No,Hybrid,Good,Good,No,4,High,1.7,95.86,False,2.76,True,False,False,False,False,False,False,False,False,False,Excellent,High Study (>6h),High Attendance (>85%),Long Sleep (>8h),High,Low,Moderate Screen Time (2-5h),1,Low Risk
STU00040,20,Male,4.34,79.2,7.8,6.7,3.9,1.93,No,Online,Average,Excellent,No,0,High,8.2,59.14,False,1.93,False,False,False,False,False,False,False,False,False,False,At Risk,Moderate Study (3-6h),Moderate Attendance (70-85%),Ideal Sleep (6-8h),High,High,Moderate Screen Time (2-5h),3,Medium Risk
STU00041,22,Female,6.68,81.7,7.0,5.3,5.8,2.51,No,Online,Good,Excellent,No,2,Low,2.6,90.89,False,2.51,False,False,False,False,False,False,False,False,False,False,Excellent,High Study (>6h),Moderate Attendance (70-85%),Ideal Sleep (6-8h),Medium,Low,High Screen Time (>5h),0,Low Risk
STU00042,17,Female,4.64,83.9,6.9,6.2,6.6,3.06,No,Hybrid,Good,Excellent,No,2,Middle,6.9,66.2,False,3.06,False,False,False,False,False,False,False,False,False,False,Needs Improvement,Moderate Study (3-6h),Moderate Attendance (70-85%),Ideal Sleep (6-8h),High,High,High Screen Time (>5h),3,Medium Risk
STU00043,22,Non-Binary,6.14,90.5,8.7,2.8,3.6,3.02,No,Hybrid,Average,Average,No,3,Middle,2.3,96.49,False,3.02,False,False,False,False,False,False,False,False,False,False,Excellent,High Study (>6h),High Attendance (>85%),Long Sleep (>8h),Low,Low,Moderate Screen Time (2-5h),0,Low Risk
STU00044,22,Female,3.49,70.8,6.6,4.6,4.2,2.62,No,Online,Average,Good,Yes,1,Low,5.7,77.71,False,2.62,False,False,False,False,False,False,False,False,False,False,Good,Moderate Study (3-6h),Moderate Attendance (70-85%),Ideal Sleep (6-8h),Medium,Medium,Moderate Screen Time (2-5h),0,Low Risk
STU00045,20,Male,1.58,86.1,7.8,4.9,6.6,3.25,No,Hybrid,Average,Average,Yes,0,High,4.0,67.78,False,3.25,False,False,False,False,False,False,False,False,False,False,Needs Improvement,Low Study (<3h),High Attendance (>85%),Ideal Sleep (6-8h),Medium,Medium,High Screen Time (>5h),2,Medium Risk
STU00046,20,Female,1.39,80.6,8.3,7.9,2.9,4.0,Yes,Offline,Average,Average,No,1,Middle,5.9,84.67,False,4.0,False,False,False,False,False,False,False,False,False,False,Good,Low Study (<3h),Moderate Attendance (70-85%),Long Sleep (>8h),High,Medium,Moderate Screen Time (2-5h),2,Medium Risk
STU00047,20,Male,5.77,80.5,8.1,2.2,0.5,3.39,Yes,Offline,Good,Excellent,No,1,High,5.5,86.1,False,3.39,False,False,False,False,False,False,False,False,False,False,Good,Moderate Study (3-6h),Moderate Attendance (70-85%),Long Sleep (>8h),Low,Medium,Low Screen Time (≤2h),0,Low Risk
STU00048,17,Female,9.5,78.9,4.6,3.6,5.0,3.71,No,Hybrid,Average,Poor,Yes,2,Middle,3.1,90.34,False,3.71,False,False,False,False,False,False,False,False,False,False,Excellent,High Study (>6h),Moderate Attendance (70-85%),Short Sleep (<6h),Medium,Medium,Moderate Screen Time (2-5h),0,Low Risk
STU00049,23,Female,5.54,75.3,7.0,5.3,5.4,3.23,Yes,Hybrid,Average,Excellent,No,2,Middle,4.8,90.81,False,3.23,False,False,False,False,False,False,False,False,False,False,Excellent,Moderate Study (3-6h),Moderate Attendance (70-85%),Ideal Sleep (6-8h),Medium,Medium,High Screen Time (>5h),0,Low Risk
STU00050,20,Male,3.95,82.0,4.3,5.7,5.1,2.64,No,Offline,Average,Average,Yes,1,Low,7.1,65.18,False,2.64,False,False,False,False,False,False,False,False,False,False,Needs Improvement,Moderate Study (3-6h),Moderate Attendance (70-85%),Short Sleep (<6h),Medium,High,High Screen Time (>5h),2,Medium Risk
STU00051,24,Male,9.1,80.2,8.1,3.9,2.6,3.5,No,Hybrid,Poor,Excellent,No,1,Low,2.8,86.73,False,3.5,False,False,False,False,False,False,False,False,False,False,Good,High Study (>6h),Moderate Attendance (70-85%),Long Sleep (>8h),Medium,Low,Moderate Screen Time (2-5h),0,Low Risk
STU00052,17,Female,5.47,86.7,7.8,5.1,2.1,3.38,No,Hybrid,Good,Average,Yes,2,High,1.9,97.86,False,3.38,False,False,False,False,False,False,False,False,False,False,Excellent,Moderate Study (3-6h),High Attendance (>85%),Ideal Sleep (6-8h),Medium,Low,Moderate Screen Time (2-5h),0,Low Risk
STU00053,20,Female,5.2,94.7,6.5,4.5,5.1,2.28,No,Offline,Average,Average,No,0,High,2.2,92.57,False,2.28,False,False,False,False,False,False,False,False,False,False,Excellent,Moderate Study (3-6h),High Attendance (>85%),Ideal Sleep (6-8h),Medium,Low,High Screen Time (>5h),0,Low Risk
STU00054,21,Male,5.51,70.1,5.4,4.7,3.2,2.76,No,Offline,Average,Average,No,2,Middle,2.0,92.58,False,2.76,False,False,False,False,False,False,False,False,False,False,Excellent,Moderate Study (3-6h),Moderate Attendance (70-85%),Short Sleep (<6h),Medium,Low,Moderate Screen Time (2-5h),0,Low Risk
STU00055,22,Male,4.74,99.3,6.2,3.7,2.3,3.11,No,Offline,Good,Good,Yes,3,High,2.1,94.74,False,3.11,False,False,False,False,False,False,False,False,False,False,Excellent,Moderate Study (3-6h),High Attendance (>85%),Ideal Sleep (6-8h),Medium,Low,Moderate Screen Time (2-5h),0,Low Risk
STU00056,24,Male,4.38,90.7,5.8,5.1,3.8,3.29,Yes,Online,Poor,Average,Yes,0,Middle,6.4,74.14,False,3.29,False,False,False,False,False,False,False,False,False,False,Needs Improvement,Moderate Study (3-6h),High Attendance (>85%),Short Sleep (<6h),Medium,High,Moderate Screen Time (2-5h),2,Medium Risk
STU00057,20,Female,2.13,68.5,7.5,4.9,3.2,1.95,No,Hybrid,Average,Good,No,1,High,6.7,61.87,False,1.95,False,False,False,False,False,False,False,False,False,False,Needs Improvement,Low Study (<3h),Low Attendance (<70%),Ideal Sleep (6-8h),Medium,High,Moderate Screen Time (2-5h),4,High Risk
STU00058,18,Male,6.0,78.6,6.9,5.4,3.3,3.37,No,Hybrid,Poor,Poor,No,2,Low,1.2,94.29,False,3.37,False,False,False,False,False,False,False,False,False,False,Excellent,Moderate Study (3-6h),Moderate Attendance (70-85%),Ideal Sleep (6-8h),Medium,Low,Moderate Screen Time (2-5h),0,Low Risk
STU00059,22,Female,4.81,79.9,9.0,7.9,3.5,3.14,No,Hybrid,Good,Poor,No,3,Middle,3.5,85.59,False,3.14,False,False,False,False,False,False,False,False,False,False,Good,Moderate Study (3-6h),Moderate Attendance (70-85%),Long Sleep (>8h),High,Medium,Moderate Screen Time (2-5h),1,Low Risk
STU00060,22,Male,7.45,91.6,6.0,6.7,1.8,3.61,No,Online,Average,Poor,No,2,Middle,2.3,89.93,False,3.61,False,False,False,False,False,False,False,False,False,False,Good,High Study (>6h),High Attendance (>85%),Ideal Sleep (6-8h),High,Low,Low Screen Time (≤2h),1,Low Risk
STU00061,20,Female,4.26,70.3,5.3,5.7,4.7,2.9,No,Online,Good,Good,Yes,2,Middle,6.0,78.78,False,2.9,False,False,False,False,False,False,False,False,False,False,Good,Moderate Study (3-6h),Moderate Attendance (70-85%),Short Sleep (<6h),Medium,Medium,Moderate Screen Time (2-5h),0,Low Risk
STU00062,23,Male,1.19,97.0,9.4,5.7,0.5,3.36,Yes,Online,Average,Excellent,No,2,Middle,3.1,93.34,False,3.36,False,False,False,False,False,False,False,False,False,False,Excellent,Low Study (<3h),High Attendance (>85%),Long Sleep (>8h),Medium,Medium,Low Screen Time (≤2h),1,Low Risk
STU00063,19,Female,4.8,69.2,6.1,6.5,3.1,2.91,No,Online,Poor,Excellent,No,2,Middle,3.1,69.34,False,2.91,False,False,False,False,False,False,False,False,False,False,Needs Improvement,Moderate Study (3-6h),Low Attendance (<70%),Ideal Sleep (6-8h),High,Medium,Moderate Screen Time (2-5h),3,Medium Risk
STU00064,23,Male,8.4,76.3,5.2,7.3,5.8,3.0,Yes,Online,Average,Average,No,2,Middle,4.2,90.55,False,3.0,False,False,False,False,False,False,False,False,False,False,Excellent,High Study (>6h),Moderate Attendance (70-85%),Short Sleep (<6h),High,Medium,High Screen Time (>5h),1,Low Risk
STU00065,20,Female,4.23,73.8,7.7,7.3,4.7,2.89,Yes,Offline,Average,Good,No,0,Low,6.2,70.49,False,2.89,False,False,False,False,False,False,False,False,False,False,Needs Improvement,Moderate Study (3-6h),Moderate Attendance (70-85%),Ideal Sleep (6-8h),High,High,Moderate Screen Time (2-5h),3,Medium Risk
STU00066,22,Male,3.22,67.6,8.8,5.3,5.4,2.69,Yes,Hybrid,Average,Good,No,0,Middle,4.8,56.54,False,2.69,False,False,False,False,False,False,False,False,False,False,At Risk,Moderate Study (3-6h),Low Attendance (<70%),Long Sleep (>8h),Medium,Medium,High Screen Time (>5h),2,Medium Risk
STU00067,24,Female,2.89,68.7,7.1,2.5,0.9,2.57,Yes,Online,Average,Average,No,1,Middle,5.0,68.52,False,2.57,False,False,False,False,False,False,False,False,False,False,Needs Improvement,Low Study (<3h),Low Attendance (<70%),Ideal Sleep (6-8h),Low,Medium,Low Screen Time (≤2h),3,Medium Risk
STU00068,18,Female,2.9,74.1,7.5,2.3,3.3,3.13,No,Hybrid,Average,Good,Yes,1,High,3.6,76.31,False,3.13,False,False,False,False,False,False,False,False,False,False,Good,Low Study (<3h),Moderate Attendance (70-85%),Ideal Sleep (6-8h),Low,Medium,Moderate Screen Time (2-5h),1,Low Risk
STU00069,24,Male,4.4,77.3,7.9,5.0,6.7,2.68,Yes,Offline,Average,Good,Yes,1,Middle,6.3,83.35,False,2.68,False,False,False,False,False,False,False,False,False,False,Good,Moderate Study (3-6h),Moderate Attendance (70-85%),Ideal Sleep (6-8h),Medium,High,High Screen Time (>5h),1,Low Risk
STU00070,24,Female,2.64,73.8,6.2,3.6,4.0,3.16,Yes,Online,Poor,Average,No,1,Low,4.4,74.93,False,3.16,False,False,False,False,False,False,False,False,False,False,Needs Improvement,Low Study (<3h),Moderate Attendance (70-85%),Ideal Sleep (6-8h),Medium,Medium,Moderate Screen Time (2-5h),2,Medium Risk
STU00071,22,Female,8.0,70.7,7.1,5.9,1.5,3.04,Yes,Offline,Good,Poor,No,2,Middle,3.2,85.95,False,3.04,False,False,False,False,False,False,False,False,False,False,Good,High Study (>6h),Moderate Attendance (70-85%),Ideal Sleep (6-8h),Medium,Medium,Low Screen Time (≤2h),0,Low Risk
STU00072,23,Male,4.43,54.2,8.0,8.0,3.3,2.41,No,Hybrid,Average,Average,No,1,Low,5.5,66.92,False,2.41,False,False,False,False,False,False,False,False,False,False,Needs Improvement,Moderate Study (3-6h),Low Attendance (<70%),Ideal Sleep (6-8h),High,Medium,Moderate Screen Time (2-5h),3,Medium Risk
STU00073,18,Male,5.66,77.2,6.5,6.3,4.6,2.58,Yes,Offline,Poor,Good,No,2,Middle,5.3,66.32,False,2.58,False,False,False,False,False,False,False,False,False,False,Needs Improvement,Moderate Study (3-6h),Moderate Attendance (70-85%),Ideal Sleep (6-8h),High,Medium,Moderate Screen Time (2-5h),2,Medium Risk
STU00074,17,Male,7.88,98.6,9.3,5.0,3.0,3.27,No,Online,Average,Poor,Yes,2,Low,5.1,89.63,False,3.27,False,False,False,False,False,False,False,False,False,False,Good,High Study (>6h),High Attendance (>85%),Long Sleep (>8h),Medium,Medium,Moderate Screen Time (2-5h),0,Low Risk
STU00075,21,Female,8.01,96.4,5.4,2.7,4.4,2.02,Yes,Hybrid,Good,Average,No,0,Middle,5.8,89.85,False,2.02,False,False,False,False,False,False,False,False,False,False,Good,High Study (>6h),High Attendance (>85%),Short Sleep (<6h),Low,Medium,Moderate Screen Time (2-5h),0,Low Risk
STU00076,22,Female,4.57,91.5,5.8,5.7,3.2,3.59,No,Hybrid,Poor,Average,Yes,2,Low,5.6,92.87,False,3.59,False,False,False,False,False,False,False,False,False,False,Excellent,Moderate Study (3-6h),High Attendance (>85%),Short Sleep (<6h),Medium,Medium,Moderate Screen Time (2-5h),0,Low Risk
STU00077,20,Male,5.66,76.0,6.5,2.1,6.9,2.53,No,Offline,Average,Poor,Yes,1,Low,3.0,95.87,False,2.53,False,False,False,False,False,False,False,False,False,False,Excellent,Moderate Study (3-6h),Moderate Attendance (70-85%),Ideal Sleep (6-8h),Low,Low,High Screen Time (>5h),0,Low Risk
STU00078,17,Female,6.47,85.1,6.1,5.7,4.6,2.44,No,Online,Good,Average,Yes,2,High,4.9,83.67,False,2.44,False,False,False,False,False,False,False,False,False,False,Good,High Study (>6h),High Attendance (>85%),Ideal Sleep (6-8h),Medium,Medium,Moderate Screen Time (2-5h),0,Low Risk
STU00079,21,Female,4.61,74.6,6.6,5.8,3.8,3.66,No,Hybrid,Average,Excellent,No,0,High,6.9,80.52,False,3.66,False,False,False,False,False,False,False,False,False,False,Good,Moderate Study (3-6h),Moderate Attendance (70-85%),Ideal Sleep (6-8h),Medium,High,Moderate Screen Time (2-5h),1,Low Risk
STU00080,20,Female,1.44,75.3,7.8,7.5,5.1,1.94,No,Online,Poor,Poor,Yes,0,Middle,9.6,40.92,False,1.94,False,True,False,False,True,False,False,False,False,False,At Risk,Low Study (<3h),Moderate Attendance (70-85%),Ideal Sleep (6-8h),High,High,High Screen Time (>5h),4,High Risk
STU00081,24,Female,6.31,81.5,9.2,10.0,3.8,2.88,Yes,Hybrid,Average,Good,No,1,Low,3.5,77.38,False,2.88,False,False,False,False,False,False,False,False,False,False,Good,High Study (>6h),Moderate Attendance (70-85%),Long Sleep (>8h),High,Medium,Moderate Screen Time (2-5h),1,Low Risk
STU00082,19,Female,6.79,90.1,5.2,5.5,4.2,3.02,Yes,Online,Good,Average,Yes,4,High,4.6,94.95,False,3.02,True,False,False,False,False,False,False,False,False,False,Excellent,High Study (>6h),High Attendance (>85%),Short Sleep (<6h),Medium,Medium,Moderate Screen Time (2-5h),0,Low Risk
